DATE,Fed-held Residential MBS,Fed-held Commerical MBS,Fed Total Assets
2015-04-08,0.0,0.0,4483419.0
2015-04-15,0.0,0.0,4485366.0
2015-04-22,0.0,0.0,4489695.0
2015-04-29,0.0,0.0,4471499.0
2015-05-06,0.0,0.0,4472703.0
2015-05-13,0.0,0.0,4501188.0
2015-05-20,0.0,0.0,4480384.0
2015-05-27,0.0,0.0,4463981.0
2015-06-03,0.0,0.0,4465360.0
2015-06-10,0.0,0.0,4468005.0
2015-06-17,0.0,0.0,4487817.0
2015-06-24,0.0,0.0,4495055.0
2015-07-01,0.0,0.0,4479130.0
2015-07-08,0.0,0.0,4481289.0
2015-07-15,0.0,0.0,4493605.0
2015-07-22,0.0,0.0,4500503.0
2015-07-29,0.0,0.0,4485480.0
2015-08-05,0.0,0.0,4486329.0
2015-08-12,0.0,0.0,4489250.0
2015-08-19,0.0,0.0,4487208.0
2015-08-26,0.0,0.0,4475105.0
2015-09-02,0.0,0.0,4475886.0
2015-09-09,0.0,0.0,4478213.0
2015-09-16,0.0,0.0,4487809.0
2015-09-23,0.0,0.0,4497484.0
2015-09-30,0.0,0.0,4484111.0
2015-10-07,0.0,0.0,4486185.0
2015-10-14,0.0,0.0,4504704.0
2015-10-21,0.0,0.0,4501372.0
